contrato_cliente_id;codigo_producto;precio_pactado;usuario_id;fecha_registro
319;1125A0020001;200;1350;HOY
319;1163A0060106;4300;1350;HOY
319;1149A0230001;1285;1350;HOY
319;1163B0040020;260;1350;HOY
319;1138M0173084;7800;1350;HOY
319;1116A1260565;9000;1350;HOY
319;1116A1260561;1536;1350;HOY
319;126F0602178;500;1350;HOY
319;150D0131449;149;1350;HOY
319;1116V0364708;2675;1350;HOY
319;1109L0062777;94;1350;HOY
319;1119C1061250;6800;1350;HOY
319;12G0040001;11;1350;HOY
319;1109M0113024;1433;1350;HOY
319;1163H0082372;990;1350;HOY
319;155V0524789;24985;1350;HOY
319;155A1690660;8000;1350;HOY
319;160N0313498;2266;1350;HOY
319;1161O0023539;1900;1350;HOY
319;1104P0103687;2400;1350;HOY
319;171Z0014830;61400;1350;HOY
319;127S0024121;207;1350;HOY
319;127S0024121;207;1350;HOY
319;119R0071018;1400;1350;HOY
319;119S0042263;1400;1350;HOY
319;119S0042260;1100;1350;HOY
319;1157T0024288;263;1350;HOY
319;174T0584476;685;1350;HOY
319;168V0164631;36;1350;HOY
319;1144A1710011;300;1350;HOY
319;219A001430004 ;1450;1350;HOY
319;219A001430005;21330;1350;HOY
319;1163A0290001;21176;1350;HOY
319;1163A0200197 ;400;1350;HOY
319;1163A0200198 ;400;1350;HOY
319;1163A0260251;694;1350;HOY
319;1163A0260250 ;650;1350;HOY
319;1163A0280275 ;935;1350;HOY
319;1163A0330001;250;1350;HOY
319;1163C0441114 ;1060;1350;HOY
319;1163C107A1258;1309;1350;HOY
319;1163C1091263 ;2000;1350;HOY
319;1163C0110931 ;1176;1350;HOY
319;1163C121A1304;944;1350;HOY
319;1163C0191012 ;682;1350;HOY
319;219D000580557;2012;1350;HOY
319;119D0100568 ;4911;1350;HOY
319;1163D0151480;139;1350;HOY
319;119A0090142;81000;1350;HOY
319;1163G0032222 ;294;1350;HOY
319;1163G0032224 ;329;1350;HOY
319;119M0020001 ;12188;1350;HOY
319;1163M0133045 ;9294;1350;HOY
319;1163M0163077;194;1350;HOY
319;1163N0043407;400;1350;HOY
319;119A0600402;33344;1350;HOY
319;119A0600404;26519;1350;HOY
319;1163O0043551 ;706;1350;HOY
319;119S0042259 ;3000;1350;HOY
319;119S0042260 ;1100;1350;HOY
319;219S000542258;10141;1350;HOY
319;1163V0130188;3294;1350;HOY
319;1163F0081987 ;358;1350;HOY
