ROTACION DUANA @@@@@@@
CODIGO@MEDICAMENTO@MOLECULA@PROMEDIO MES@STOCK FARMACIA@PEDIDO 60 DIAS@@STOCK BODEGA
180A0370299@ABACAVIR 300mg TABLETA | FRASCO X 60. LEGRAND@ABACAVIR@0@60@0@@0
180A0440001@LAMCAVIR 300mg/600mg TABLETA | CAJA X 30. HUMAX@ABACAVIR+LAMIVUDINA@945@750@1140@@12240
1203A1480002@DUZINC  500gr CREMA | POTE X 1. DUMIAN MEDICAL S.A.S@ACEITE DE CALENDULA+OXIDO DE Z@12@18@7@@0
1161R0044008@ACEITE DE RICINO 92.4g SOLUCION ORAL | FRASCO X 30mL. PRODUCTOS DROGAM@ACEITE DE RICINO@9@0@19@@183
198A0010044@ACETAMINOFEN JARABE 150mg/5ml SOLUCION ORAL | FRASCO X 60 ML. LAFRANCOL@ACETAMINOFEN@26@26@26@@0
198A0010042@ACETAMINOFEN 500mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN@49699@49071@50327@@20287
1312A1710001@NODOL FORTE 325+30mg TABLETA | CAJA X 100. SALUSPHARMA S.A.S.@ACETAMINOFEN+CODEINA@22571@6745@38397@@0
198A0650003@DOLIREN 5mg/325mg TABLETA | CAJA X 100. LAFRANCOL@ACETAMINOFEN-HIDROCODONA BITARTRATO@1125@284@1966@@0
1125A0660001@ISBELA 2+.035mg TABLETA | CAJA X 21. PROCAPS@ACETATOCIPROTERONA+ETILINESTRADIOL@21@0@42@@439
1E101A0670001@LADEE 0.3+2mg TABLETA | CAJA X 21. EXELTIS@ACETATO DE CLORMADINONA+ITINIL@42@21@63@@0
1125A0020001@ACETAZOLAMIDA 250mg TABLETA | CAJA X 30. PROCAPS@ACETAZOLAMIDA@5@20@0@@300
1145A0020055@GLAUCOMED 250mg TABLETA | CAJA X 10. SCANDINAVIA@ACETAZOLAMIDA@0@40@0@@0
192A0050070@N-ACETILCISTEINA GRANULADO 200mg SOBRE | CAJA X 30. LA SANTE@ACETILCISTEINA@1018@642@1394@@0
168A0060097@ACICLOVIR 200mg TABLETA | CAJA X 25. GEN-FAR S.A@ACICLOVIR@1283@699@1868@@0
168A0060098@ACICLOVIR 800mg TABLETA | CAJA X 10. GEN-FAR S.A@ACICLOVIR@400@711@89@@0
127A0060001@ACTIVIRAL TOPICO 5% UNGUENTO | TUBO X 15g. BIOQUIFAR@ACICLOVIR@25@41@10@@990
1168A0030067@ACIDO ACETILSALICILICO 100mg TABLETA | CAJA X 900. GEN-FAR S.A@ACIDO ACETIL SALICILICO@4021@1375@6667@@249
